SOCIETY_NAME,location,BEDROOM_NUM,BALCONY_NUM,AREA,AGE,FURNISH,amenity_luxury,FLOOR_NUM,PRICE
306.0,243.0,4.0,2.0,1791,2.0,3.0,2.0,1.0,1.13
1830.0,219.0,3.0,1.0,825,2.0,0.0,1.0,2.0,0.36
1513.0,334.0,3.0,1.0,1660,1.0,2.0,2.0,2.0,1.75
1483.0,334.0,3.0,1.0,1263,3.0,0.0,2.0,0.0,0.82
1259.0,334.0,2.0,2.0,977,0.0,1.0,2.0,2.0,0.36
275.0,280.0,2.0,1.0,785,0.0,0.0,1.0,1.0,0.23
147.0,317.0,3.0,1.0,946,0.0,0.0,1.0,2.0,0.5
782.0,427.0,3.0,1.0,1925,2.0,0.0,1.0,0.0,2.72
286.0,334.0,3.0,2.0,1275,1.0,1.0,0.0,2.0,0.65
541.0,183.0,3.0,2.0,1300,0.0,1.0,0.0,1.0,1.2
865.0,427.0,3.0,1.0,1020,0.0,1.0,0.0,1.0,0.7
1065.0,309.0,3.0,1.0,1023,2.0,0.0,1.0,2.0,0.28
1769.0,179.0,2.0,1.0,792,3.0,3.0,2.0,1.0,0.35
557.0,63.0,3.0,1.0,1056,2.0,3.0,2.0,1.0,0.5
1147.0,212.0,2.0,1.0,1058,1.0,3.0,1.0,2.0,0.65
642.0,179.0,3.0,4.0,900,2.0,0.0,2.0,2.0,0.87
1103.0,274.0,3.0,1.0,1214,2.0,3.0,2.0,1.0,0.52
1384.0,220.0,2.0,2.0,920,0.0,0.0,0.0,1.0,0.5
1023.0,198.0,4.0,1.0,2165,3.0,1.0,1.0,1.0,3.25
217.0,232.0,3.0,2.0,1045,1.0,0.0,1.0,2.0,0.45
578.0,237.0,2.0,1.0,712,3.0,0.0,1.0,2.0,0.2
1738.0,227.0,3.0,2.0,1800,2.0,2.0,2.0,2.0,0.75
1301.0,198.0,2.0,2.0,600,2.0,0.0,1.0,1.0,0.35
151.0,334.0,3.0,1.0,1034,3.0,2.0,0.0,1.0,0.5
750.0,64.0,3.0,1.0,1085,2.0,0.0,1.0,2.0,0.37
527.0,220.0,3.0,1.0,1208,1.0,0.0,2.0,2.0,0.63
1487.0,334.0,2.0,1.0,780,1.0,3.0,1.0,2.0,0.32
1320.0,105.0,3.0,1.0,892,3.0,1.0,1.0,2.0,0.26
368.0,117.0,2.0,0.0,550,0.0,2.0,2.0,1.0,0.32
434.0,237.0,3.0,1.0,1377,1.0,3.0,2.0,2.0,0.36
1507.0,232.0,3.0,1.0,1295,2.0,0.0,2.0,2.0,0.75
