PROP_ID,PROPERTY_TYPE,SOCIETY_NAME,location,BEDROOM_NUM,BALCONY_NUM,AREA,Price_per_sqft,PRICE,AGE,FURNISH,amenity_luxury,FLOOR_NUM,TOTAL_FLOOR
J67271762,flat,New shakuntala park,Behala,2.0,1.0,700,2714.0,0.19,Relatively New Property,Fully furnished,132.0,1,3.0
T71212750,flat,Active acres,Em Bypass,3.0,1.0,1535,7855.0,1.21,Old Property,Unfurnished,246.0,1,22.0
D71212746,flat,Active acres,Em Bypass,2.0,1.0,1133,7855.0,0.89,Old Property,Unfurnished,246.0,1,22.0
X71212726,flat,Uniworld city,New Town,3.0,1.0,1226,6688.0,0.82,Old Property,Unfurnished,246.0,1,15.0
K71212722,flat,Uniworld city,New Town,2.0,1.0,957,6792.0,0.65,Old Property,Unfurnished,246.0,1,15.0
H70913010,flat,Shib shankar building,Narayantala,1.0,1.0,365,4109.0,0.15,Moderately Old,Luxury furnished,150.0,2,4.0
D70387730,flat,"South dumdum, baguihati",Dakshinpara,1.0,1.0,575,4819.0,0.2,Relatively New Property,Luxury furnished,45.0,3,4.0
B65660840,flat,Nirrman udichi enclave,Dakshineswar,3.0,1.0,1054,4269.0,0.45,Relatively New Property,Luxury furnished,246.0,4,4.0
C70294440,flat,Srijan midlands,Madhyamgram,2.0,1.0,880,4545.0,0.4,New Property,Fully furnished,158.0,4,5.0
Z71159532,flat,"Jayjayanti apartment, naktala road",Naktala,2.0,1.0,690,3500.0,0.24,Moderately Old,Luxury furnished,229.0,2,3.0
G70163088,flat,Jamuna aditya apartment,Sirity,2.0,1.0,660,4545.0,0.3,Moderately Old,Fully furnished,24.0,3,3.0
P67363244,flat,Merlin maximus,Sodepur,2.0,1.0,840,5833.0,0.48,Relatively New Property,Fully furnished,780.0,10,11.0
Q70458144,flat,Sadhana apartment,Kestopur,3.0,2.0,1110,4504.0,0.52,Old Property,Luxury furnished,280.0,1,6.0
U71230228,flat,Greenfield city elite,Behala,3.0,2.0,1323,4913.0,0.65,New Property,Luxury furnished,661.0,10,11.0
T71227802,flat,Radha kunj,Howrah,4.0,2.0,2500,2400.0,0.6,Moderately Old,Semi-furnished,54.0,4,5.0
N70888548,flat,Rajwada blue,Kamalgazi,3.0,1.0,1288,4270.0,0.58,New Property,Semi-furnished,310.0,3,5.0
L71004452,flat,Shantiniketan apartment,Rajarhat,3.0,4.0,1420,4929.0,0.7,New Property,Luxury furnished,497.0,3,5.0
K70746088,flat,Dristi enclave,Kalikapur,3.0,1.0,1120,4910.0,0.55,Moderately Old,Fully furnished,124.0,1,3.0
D70644364,flat,Devaloke decasa,Narendrapur,3.0,1.0,1266,5687.0,0.72,New Property,Semi-furnished,535.0,1,5.0
I69085428,flat,Trident sky abode,Nager Bazar,3.0,1.0,1290,4031.0,0.52,Old Property,Semi-furnished,153.0,4,4.0
I69816158,flat,Wonder land,Dum Dum,3.0,1.0,1000,7200.0,0.72,Relatively New Property,Luxury furnished,103.0,1,5.0
K69465572,flat,Geetanjali apartment,Lake Town,2.0,1.0,900,6111.0,0.55,Moderately Old,Luxury furnished,256.0,6,6.0
L71023012,flat,Dtc capital city,Rajarhat,4.0,2.0,1940,4742.0,0.92,Old Property,Unfurnished,246.0,1,20.0
C71023006,flat,Dtc capital city,Rajarhat,2.0,1.0,910,4615.0,0.42,Old Property,Unfurnished,246.0,1,20.0
X71023004,flat,Dtc capital city,Rajarhat,1.0,1.0,630,4127.0,0.26,Old Property,Unfurnished,246.0,1,20.0
E38317795,flat,Akash apartment,Ramgarh,2.0,1.0,850,4000.0,0.29,New Property,Luxury furnished,103.0,2,2.0
C70645350,flat,Dakhinee,Kamalgazi,2.0,1.0,1050,4850.0,0.51,Old Property,Fully furnished,695.0,2,4.0
Z69338048,flat,Unknown,Tollygunge,2.0,1.0,610,5500.0,0.34,Relatively New Property,Fully furnished,6.0,2,3.0
Y69157838,flat,Orbit lumiere,Bt Road,2.0,1.0,970,7731.0,0.75,Old Property,Fully furnished,626.0,4,12.0
E70227404,flat,Kali park,Rajarhat,1.0,1.0,565,2345.0,0.13,Old Property,Fully furnished,45.0,3,5.0
J71414982,flat,The soul,Rajarhat,2.0,1.0,609,10509.0,0.64,Old Property,Unfurnished,246.0,1,16.0
J71394796,flat,Alcove new kolkata sangam,Serampore,4.0,2.0,2085,3932.0,0.82,Old Property,Unfurnished,246.0,1,29.0
I71394794,flat,Alcove new kolkata sangam,Serampore,3.0,1.0,1039,4379.0,0.46,Old Property,Unfurnished,246.0,1,29.0
I71394786,flat,Rajwada royal gardens,Narendrapur,5.0,2.0,2848,4995.0,1.42,Old Property,Unfurnished,246.0,1,20.0
U71394784,flat,Rajwada royal gardens,Narendrapur,4.0,2.0,1978,4995.0,0.99,Old Property,Unfurnished,246.0,1,20.0
G71394782,flat,Rajwada royal gardens,Narendrapur,3.0,1.0,1379,4994.0,0.69,Old Property,Unfurnished,246.0,1,20.0
T71205668,flat,Dtc capital city,Rajarhat,4.0,2.0,1940,4741.0,0.92,Old Property,Unfurnished,246.0,1,20.0
R71205664,flat,Dtc capital city,Rajarhat,2.0,1.0,910,4614.0,0.42,Old Property,Unfurnished,246.0,1,20.0
V71129248,flat,Aagaman by rajat,Tollygunge,4.0,2.0,1497,8850.0,1.32,Old Property,Unfurnished,246.0,1,18.0
L70987820,flat,Merlin serenia,Bt Road,4.0,2.0,1454,8637.0,1.26,Old Property,Unfurnished,246.0,1,28.0
A70987814,flat,Merlin serenia,Bt Road,2.0,1.0,732,8759.0,0.64,Old Property,Unfurnished,246.0,1,28.0
J70939278,flat,Dlf new town heights,New Town,3.0,2.0,1845,6775.0,1.25,New Property,Semi-furnished,381.0,20,33.0
E71006048,flat,Gita construction,Naihati,2.0,1.0,800,2800.0,0.22,Old Property,Unfurnished,225.0,2,5.0
O70930596,flat,Gita construction,Kanchrapara,2.0,1.0,786,3200.0,0.25,Old Property,Fully furnished,216.0,2,5.0
X70930444,flat,Gita construction,Kanchrapara,1.0,0.0,350,3200.0,0.11,Old Property,Fully furnished,145.0,1,5.0
F71102254,flat,The venue,New Town,3.0,1.0,1486,6527.0,0.97,Old Property,Fully furnished,1059.0,27,30.0
A71102182,flat,The venue,New Town,2.0,1.0,770,8311.0,0.64,Old Property,Fully furnished,956.0,26,30.0
A70200312,flat,Merlin estates,Behala Chowrasta,2.0,1.0,1049,5243.0,0.5,New Property,Unfurnished,246.0,5,5.0
R71053090,flat,Highland green,Batanagar,2.0,1.0,712,3230.0,0.23,Relatively New Property,Semi-furnished,687.0,6,6.0
N70496452,flat,Maa sarada apartment,Uttarpara Kotrung,3.0,2.0,1213,3297.0,0.37,New Property,Unfurnished,103.0,4,5.0
L68828566,flat,Alcove new kolkata prayag,Serampore,1.0,2.0,538,4460.0,0.24,Old Property,Fully furnished,623.0,14,18.0
G69755352,flat,Unknown,Kabardanga,2.0,1.0,620,4838.0,0.27,Old Property,Fully furnished,306.0,1,2.0
Z69020082,flat,Unknown,Bara Nagar,2.0,1.0,880,4545.0,0.4,Relatively New Property,Luxury furnished,151.0,4,4.0
K56853830,flat,Sukanta sarani,Nona Chandanpukur,2.0,1.0,850,3294.0,0.28,Relatively New Property,Luxury furnished,103.0,2,2.0
R71285592,flat,Newtown aa 1d,Aa 1D Newtown,2.0,1.0,1100,5900.0,0.65,Old Property,Luxury furnished,148.0,2,5.0
R68989260,flat,Green huts 1,Bagha Jatin,1.0,0.0,320,5555.0,0.12,Moderately Old,Luxury furnished,483.0,0,4.0
T70492424,flat,Rajwada heights,Narendrapur,3.0,2.0,1370,4233.0,0.58,New Property,Fully furnished,304.0,9,12.0
L71245668,flat,Solus,Madhyamgram,4.0,2.0,1528,5351.0,0.82,Old Property,Unfurnished,246.0,1,11.0
R71245664,flat,Solus,Madhyamgram,2.0,1.0,897,5351.0,0.48,Old Property,Unfurnished,246.0,1,11.0
E67643048,flat,Priyasha manor,Prafulla Kanan,1.0,0.0,700,2142.0,0.15,Moderately Old,Unfurnished,103.0,1,4.0
U71420758,flat,Merlin lakescape,New Town,1.0,1.0,490,7551.0,0.37,Old Property,Unfurnished,246.0,1,12.0
A71323966,flat,The avalon heights,Garia,4.0,2.0,1616,6200.0,1.0,Old Property,Unfurnished,246.0,1,11.0
S71323962,flat,The avalon heights,Garia,2.0,1.0,985,6200.0,0.61,Old Property,Unfurnished,246.0,1,11.0
Q71235680,flat,Arya altamount,Em Bypass,4.0,2.0,1548,7500.0,1.16,Old Property,Unfurnished,246.0,1,18.0
